audio	sentence	length
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_38:18-41:25.ctm_m1.wav	Taki si pamatuju teda, že taťínek viprávjel, že bila mňenová reforma. Uš gdiš ňeák*, dost brzo vz*, vzali s maminkou, tak tatínek pracoval, pracoval jako účetňí u pana Stodoli. V Bítofčicích bila taková malá ďílna, tea ňáká menčí. Virábjeli se tam ňeáký vařečky a takový ňáký tohle* a tatínek tam ďelal účetního.	30.0
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_38:18-41:25.ctm_m2.wav	A to bidleli f tí Kan*, Kameňici, f Kameňici mňeli teda kancelář a naši bidleli chvilu v tí Kameňici. A diš se vocuť z Luk sťehovali do tí Kameňice* tam bili v náj*, jako u ňekoho f tohle, f podnájmu, nebo co bi se dneska dalo říct*, u ňekoho tam bidleli. To nebil jejich domek. Tak gdiš se vocuť sťehovali, tak je tam vezl starej pan Vašíček. Tenkrát v Kameňici nebila pošta, bila v Lukách	30.0
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_38:18-41:25.ctm_m3.wav	pošta a von jezďil dvakrát nebo jak do*, do tejdna jezďil na tu poštu, pro poštu a zase to vezl do Kameňice, jo? Tagže gdiš jel do Kameňice, tak je naložil. Stúl, štiri židle a jednu skříň. To byl veškerej jejich majetek, rozumíš? A to je dovezl do Kameňice. No a tam, potom prosťe, co tak se museli	29.76
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_38:18-41:25.ctm_m4.wav	postupňe ňeák dokupovat*, nebo taki takovej kredenc sme mňeli a to, to jim tam ňákej truhlář virábjel aji dokonce nebo co. No a tak takle se vodsťehovali do tí Kameňice. A mňeli ňákí trochu úspori a ti peňíze padli, tagže vo ti úspori přišli a voňi*, tenkrát říkal, že, že ňeak museli,	30.08
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_38:18-41:25.ctm_m5.wav	já nevím co, sepsat a já nevím ňeco, a že jako ňákí peníze na to jako dostali spátki jako, jo? Jako abi se mohli zařídit, já nevím, jo, ňeco.Takže to... a potom si pamatuju ňegdy v třiapadesátím bila znova mňena. A to tenkrát říkali, že pje*, peňíze, že mňeňili jedna ku pjeťi	29.84
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_38:18-41:25.ctm_m6.wav	nebo jak to bilo, to teda nevím, jo? A potom, gdiš to přesáhlo určitou částku, tagže pak už tam bilo jako bich řekla stráta ťech peňes daleko vječí. Ale to já už si nepamatuju, jak to taťínek vikládal. Ale vím, že tenkrát vo ňákí úspori teda taki přišli ťímle pá*, pádem. Tagže to bila jako mňena peňez. Tenkrát říkal tatínek, že říkali, že peňíze nepadnou a tohle	29.76
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_38:18-41:25.ctm_m7.wav	a a peňíze pak druhej den* a bilo to, peňíze padli.	6.72
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_52:25-56:00.ctm_m1.wav	Ale mi diš*, to bilo potom osumašedesátím, tak f práci, f práci u nás f továrňe, tak já sem nebila straňík, jó? A jako bich řekla, že sem par*, párkrát řekla, že voňi ňák, jako že se nedá jako vicestovat, jakože každej bi jen cestoval. To jednou bila taková	29.92
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_52:25-56:00.ctm_m2.wav	řeč a já sem povídala, poslechňete, proč ti hraňice se nevotevřou, jo? Do bi tadi chťel zústat, tak bi tadi zústal a gdo né, no tak bi šél, né? Takle sem povídala. Hólka, to sem taki nemňela říkat. A mi sme teda jako nestraňíci, co smej bili f takovejh*, tenkrát se říkalo funkce, vono to bilo houbi, viť, ale prosťe tohle*, tak co nebili straňíci* ti, ti, co bili straňíci, tak ti nemuseli, ale mi,	30.0
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_52:25-56:00.ctm_m3.wav	nestraňíci, sme museli choďit na školeňí, jo? Tak sme mňeli takoví školeňí mi sme to moc neposlouchali, jo? Politickí*, rozumíš, já už se aňi nepamatuju*, mi sme to mňeli za keci a mi sme si tam normálňe šuškali a bavili a blbosťi sme ďelali... todle, no ale to je fuk, ale mi sme potom s toho*, třeba přijel*, a ďelali sme s toho jakobi	29.76
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_52:25-56:00.ctm_m4.wav	takovou zkoušku, jo? Nó a pak na nás taki ďelali hodnoceňí. To se nás jednotňe*, jednotlivje pozvali, do kanceláře, jo? A tam tohle*, vím, že taki se mňe ptali jako jestli, jestli bi jako Ká Es Čé jako, jako taková mňeli jako zmňeňit názef, jo? A já sem říkala, no, tak názef, tak	30.0
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_52:25-56:00.ctm_m5.wav	podle toho jaká bi bila , vo co bi šlo, jakej bi jakobi bil tohle, ne*, Voni mňe na to ňeco povídali, já povídam: ,,tak to nemusíte mňeňit, ne? Co biste na tom mňeňili za názef?” To taki bilo*, to taki nebilo dobrý, já sem taki mňela ňegdy tu hubu teda nevimáchanou. No, no a tak takle tó, takle to jako bilo, no. Tak sme museli choďit. A diš se to potom votočilo, tak mi	30.0
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_52:25-56:00.ctm_m6.wav	sme človeče ti posutki, co na nás ďelali, voňi to ďělali, já nevim, jesli za rok nebo za dva, to nevím, ďelali to pravidelňe. Se nás poz*, dicki zvali, co sme bili jako technicko-hospodářskí pracovňíci, tak se nás takhle*, co sme nebili ve straňe, zvali. A tak gdiš se to votočilo, tak voňi nám to dali spátki, ti hodnoceňí. Dostala sem toho takovej štos. Já sem mňela takovej stek, gdiš sem tam četla ti	29.84
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_52:25-56:00.ctm_m7.wav	blbosťi, co tam bili napsaní.Diš sem to četla, tak já sem mňela takovej vstek, že diš sem to tadi přečetla*, ješťe sem to ukázala jako manželovi, jo, ďedovi. Tagže diš sem to přečetla, tak sem dóle*, tenkrát sme nemňeli ústředňí teda plin, tenkrát sme museli f kotli topit, tak sem otevřela kotel a jak to bilo, celej ten	29.2
test587478_2022_01-Luka_nad_Jihlavou_JI_xs_52:25-56:00.ctm_m8.wav	ten sem tam takhle hodila.	5.2
